bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
BIN SA15187,NY,1999,tc,"Rockport Road, Copiah Co. Pearl River",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA66033,NY,1999,tc,"Old Highway 26, Stone Co. Kirby Creek",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3331810,NY,2001,pc,Langdon Hill Road Newtown Creek,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN Private,NY,2001,pc,Lower Shavertown Cov. Br Trout Brook,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 59C535,NY,2001,tc,Harris Road Pine Creek,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2269290,NY,2001,tc,Leon McGlashan Road Batavia Kill,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA60-65,NY,2002,tc,"Eason Road, Quitman Co. Bobo Bayou",2001,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 56-0A257-1.90,NY,2002,tc,Driver Rd Macon County White Oak Creek,2001,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2205590,NY,2003,tc,Jones Road Madd River,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 7372,NY,2004,pc,CR 58 I-25,2003,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 06562,NY,2004,tc,Graves Road Mill Creek,2003,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 56-A447-0.02,NY,2005,tc,Wilburn Lane Macon County East Fork Goose Cree,2004,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2070,NY,1993,scour,SR 450 in Anne Arundel Co Severn River,1992,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2222280,NY,2000,tc,"Van Deusen Road, Columbia Co. Loomis Creek",1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
